# Customers Currently,# Customers in Pipeline,Account Manager Name,Active Customer (PY),Before Selected Year,Before Selected Year-1,CHS Rename,CHS Tooltip,Close Date,Closed?,Colour - Customer Health Score Pipeline,Conversion or Lost? (Hist),Current Year?,Customer Health Score,Customer Name,DS Filter - Exclude,dummy,ID,Likely Churn?,Number of Customers - SY,Opp Type Tooltip,Opportunity Description,Opportunity Description2,Opportunity Name,Opportunity Number,Opportunity Stage Name,Opportunity Type,Opps Param Label,Opps Text,Pipeline Value Label,Pipeline Value Text,Portfolio Status,Prior Year Param,Right_Opportunity Description,Selected Account Manager,Selected Metric [Opps],Selected Metric [Opps] (copy),Selected Stage,Selected Year,Selected Year dot,Stage,Stage Name,Stage ▶,Table Filter,Title - Renewals or Pipeline,Year,Year of Close,ARR,Colour,Conversion Rate (%),Deal Size - Avg for SY,Deal Size - Colour,Deal Size - CY vs PY,Deal Size - PY,Expected Churn,In Pipeline,New Customers - CY vs PY,Number of Line Items,Number to Show,Opportunity/Opps,Pipeline - CY vs PY,Pipeline - CY vs PY %,Pipeline - Last Year,Pipeline Value (£),Pipeline Value - Colour,Pipeline Value - CY,Selected Metric,Selected Metric - ARR,Selected Metric - Opps,Upsell > Target,Upsell Target,Upsell vs Target,Upsells - CY,Upsells - PY,Value,Value (copy),Variance to Target - Conversion Rate
,,Daniel Martinez,Beatty-Bode,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,13/08/2022,Historic,,Lost,False,,Beatty-Bode,,dummy,1710,Expected Churn,Beatty-Bode,New Business,License + LT Consulting opp,License + hosting opp,Opportunity 1710,1710,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,True,License + LT Consulting opp,False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2022,2022,,False,0,,,,107982.408815991,,0,0,1,20,Opportunity,,,,,,,107982.408815991,107982.408815991,,,,,,,107982.408815991,107982.408815991,-50.0%
,,David Wilson,Cormier LLC,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,29/11/2019,Historic,,Lost,False,,Cormier LLC,,dummy,1731,Expected Churn,Cormier LLC,New Business,License + ST Consulting opp,Consulting opp (Long term),Opportunity 1731,1731,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,Consulting opp (Long term),False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2019,2019,,False,0,,,,,,0,0,5,20,Opportunity,,,,,,,65818.229705519,65818.229705519,,,,,,,65818.229705519,65818.229705519,-50.0%
Medhurst LLC,,Kevin Martinez,Medhurst LLC,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,22/08/2020,Historic,,Conversion,False,,Medhurst LLC,,dummy,1842,Healthy,Medhurst LLC,An existing contract is due to expire unless renewed,Consulting opp (Long term),Consulting opp (Long term),Opportunity 1842,1842,,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,License opp,False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2020,2020,149929.350607546,False,1,,,,,,0,0,5,20,Opportunity,,,,,,,149929.350607546,149929.350607546,,,,,,,149929.350607546,149929.350607546,+50.0%
Wunsch-Batz,,James Jackson,Wunsch-Batz,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,15/08/2020,Historic,,Lost,False,,Wunsch-Batz,,dummy,1444,Healthy,Wunsch-Batz,New Business,Consulting opp (Short term),License opp,Opportunity 1444,1444,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,Support plan + licenses,False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2020,2020,125673.950190114,False,1,,,,,,0,0,8,20,Opportunity,,,,,,,125673.950190114,125673.950190114,,,,,,,125673.950190114,125673.950190114,+50.0%
,,Emily Brown,,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,15/06/2021,Historic,,Conversion,False,,,,dummy,4,Expected Churn,,Sale of additional services on top of an existing contract,Consulting opp (Long term),License + ST Consulting opp,Opportunity 4,4,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,License + hosting opp,False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2021,2021,,False,0,,,,,,0,0,6,20,Opportunity,,,,,,,34708.977806081,34708.977806081,,,,,,,34708.977806081,34708.977806081,-50.0%
Keebler LLC,,Samantha Lee,Keebler LLC,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,01/09/2018,Historic,,Conversion,False,,Keebler LLC,,dummy,1535,Healthy,Keebler LLC,Sale of additional services on top of an existing contract,License opp,Consulting opp (Long term),Opportunity 1535,1535,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,Support plan + licenses,False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2018,2018,162856.535396264,False,1,,,,,,0,0,4,20,Opportunity,,,,,,,162856.535396264,162856.535396264,,,,,,,162856.535396264,162856.535396264,+50.0%
,,Sarah Taylor,Frami-Zemlak,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,22/03/2022,Historic,,Conversion,False,,Frami-Zemlak,,dummy,1910,Expected Churn,Frami-Zemlak,Sale of additional services on top of an existing contract,Support plan + licenses,Consulting opp (Long term),Opportunity 1910,1910,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,True,Consulting opp (Infrastructure),False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2022,2022,,False,0,,,,69029.571225175,,0,0,1,20,Opportunity,,,,,,,69029.571225175,69029.571225175,,,,,,69029.571225175,69029.571225175,69029.571225175,-50.0%
,,Kevin Martinez,Haag-Brekke,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,26/02/2021,Historic,,Conversion,False,,Haag-Brekke,,dummy,1047,Expected Churn,Haag-Brekke,Sale of additional services on top of an existing contract,License opp,License + hosting opp,Opportunity 1047,1047,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,License opp,False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2021,2021,,False,0,,,,,,0,0,8,20,Opportunity,,,,,,,79292.939228307,79292.939228307,,,,,,,79292.939228307,79292.939228307,-50.0%
,Harvey Inc,Emily Brown,,False,False,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,30/06/2026,Pending,,Conversion,True,Red,Harvey Inc,,dummy,569,Expected Churn,,An existing contract is due to expire unless renewed,License + LT Consulting opp,License opp,Opportunity 569,569,Requirement Scoping,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Pending,False,Consulting opp (Long term),False,False,True,False,False,,3,Needs Analysis,3,True,Upcoming Renewals,2026,2026,,False,0,,,,,,0,0,10,20,Opportunity,,,,148812.485276445,,,148812.485276445,148812.485276445,,,,,,,148812.485276445,148812.485276445,-50.0%
,,Amanda Anderson,Batz Group,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,06/07/2017,Historic,,Lost,False,,Batz Group,,dummy,779,Expected Churn,Batz Group,New Business,License + hosting opp,Consulting opp (Infrastructure),Opportunity 779,779,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,License opp,False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2017,2017,,False,0,,,,,,0,0,4,20,Opportunity,,,,,,,96839.175954657,96839.175954657,,,,,,,96839.175954657,96839.175954657,-50.0%
,,James Jackson,Orn LLC,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,28/12/2018,Historic,,Lost,False,,Orn LLC,,dummy,17,Expected Churn,Orn LLC,New Business,Consulting opp (Long term),License + hosting opp,Opportunity 17,17,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,Consulting opp (Short term),False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2018,2018,,False,0,,,,,,0,0,4,20,Opportunity,,,,,,,78676.443781655,78676.443781655,,,,,,,78676.443781655,78676.443781655,-50.0%
,Schoen LLC,Samantha Lee,,False,False,Neutral,There are not enough factors to provide an opportunity health score,10/06/2024,Pending,,Conversion,False,Amber,Schoen LLC,,dummy,971,Healthy,,New Business,Consulting opp (Infrastructure),Consulting opp (Infrastructure),Opportunity 971,971,Requirement Scoping,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Pending,False,License opp,False,False,True,False,False,,3,Needs Analysis,3,True,Upcoming Renewals,2024,2024,,False,0,,,,,,0,0,10,20,Opportunity,,,,38512.293519106,,,38512.293519106,38512.293519106,,,,,,,38512.293519106,38512.293519106,-50.0%
Boehm Inc,,Robert Harris,Boehm Inc,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,11/11/2020,Historic,,Lost,False,,Boehm Inc,,dummy,494,Healthy,Boehm Inc,New Business,License opp,Consulting opp (Short term),Opportunity 494,494,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,Support plan + licenses,True,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2020,2020,101970.245619763,False,1,,,,,,0,0,10,20,Opportunity,,,,,,,101970.245619763,101970.245619763,,,,,,,101970.245619763,101970.245619763,+50.0%
Lang Inc,,Jane Smith,Lang Inc,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,24/02/2014,Historic,,Conversion,False,,Lang Inc,,dummy,96,Healthy,Lang Inc,Sale of additional services on top of an existing contract,Support plan + licenses,License + LT Consulting opp,Opportunity 96,96,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,License + hosting opp,False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2014,2014,139192.105280047,False,1,,,,,,0,0,5,20,Opportunity,,,,,,,139192.105280047,139192.105280047,,,,,,,139192.105280047,139192.105280047,+50.0%
,Wiza Group,James Jackson,,False,False,Confident,The opportunity has a high chance of being successful,28/09/2026,Pending,Green,Conversion,True,Green,Wiza Group,,dummy,899,Healthy,,Sale of additional services on top of an existing contract,License + hosting opp,License opp,Opportunity 899,899,Prospecting,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Pending,False,License opp,False,False,True,False,False,,1,Prospecting,1,True,Upcoming Renewals,2026,2026,,False,0,,,,,,0,0,5,20,Opportunity,,,,83276.573695074,,,83276.573695074,83276.573695074,,,,,,,83276.573695074,83276.573695074,-50.0%
Dare Group,,John Doe,,True,False,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,25/01/2023,Historic,,Conversion,False,,Dare Group,,dummy,638,Healthy,Dare Group,Sale of additional services on top of an existing contract,License opp,License opp,Opportunity 638,638,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,License + LT Consulting opp,False,False,True,False,True,●,Closed Won,,Closed Won,True,Upcoming Renewals,2023,2023,18434.132919282,True,1,18434.132919282,,,,,0,1,6,20,Opportunity,,,,,,18434.132919282,18434.132919282,18434.132919282,,True,4608.533229821,3,18434.132919282,,18434.132919282,18434.132919282,+50.0%
Reynolds LLC,,John Doe,Reynolds LLC,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,18/04/2019,Historic,,Conversion,False,,Reynolds LLC,,dummy,1796,Healthy,Reynolds LLC,Sale of additional services on top of an existing contract,License + LT Consulting opp,License opp,Opportunity 1796,1796,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,Consulting opp (Short term),False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2019,2019,71119.536564983,False,1,,,,,,0,0,2,20,Opportunity,,,,,,,71119.536564983,71119.536564983,,,,,,,71119.536564983,71119.536564983,+50.0%
,,Daniel Martinez,,False,False,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,07/01/2024,Historic,,Conversion,False,,Mayer Group,Hide,dummy,1069,Expected Churn,,An existing contract is due to expire unless renewed,License + ST Consulting opp,License + hosting opp,Opportunity 1069,1069,,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,License opp,False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2024,2024,,False,0,,,,,,0,0,2,20,Opportunity,,,,,,,12965.776090365,12965.776090365,,,,,,,12965.776090365,12965.776090365,-50.0%
,,Jane Smith,Bayer Inc,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,23/11/2015,Historic,,Conversion,False,,Bayer Inc,,dummy,410,Expected Churn,Bayer Inc,An existing contract is due to expire unless renewed,Support plan + licenses,Consulting opp (Short term),Opportunity 410,410,,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,Consulting opp (Infrastructure),False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2015,2015,,False,0,,,,,,0,0,2,20,Opportunity,,,,,,,99500.216131448,99500.216131448,,,,,,,99500.216131448,99500.216131448,-50.0%
,,Sarah Taylor,Harris LLC,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,23/02/2014,Historic,,Lost,False,,Harris LLC,,dummy,852,Expected Churn,Harris LLC,New Business,License + hosting opp,Consulting opp (Long term),Opportunity 852,852,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,License opp,False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2014,2014,,False,0,,,,,,0,0,8,20,Opportunity,,,,,,,38372.323130810,38372.323130810,,,,,,,38372.323130810,38372.323130810,-50.0%
Becker Inc,,Sarah Taylor,Becker Inc,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,19/02/2014,Historic,,Conversion,False,,Becker Inc,,dummy,790,Healthy,Becker Inc,An existing contract is due to expire unless renewed,Support plan + licenses,License opp,Opportunity 790,790,,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,License opp,False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2014,2014,94306.501523663,False,1,,,,,,0,0,9,20,Opportunity,,,,,,,94306.501523663,94306.501523663,,,,,,,94306.501523663,94306.501523663,+50.0%
Reichel Inc,,Sarah Taylor,Reichel Inc,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,23/01/2014,Historic,,Lost,False,,Reichel Inc,,dummy,1515,Healthy,Reichel Inc,New Business,Consulting opp (Infrastructure),Support plan + licenses,Opportunity 1515,1515,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,License + hosting opp,False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2014,2014,131261.96597965,False,1,,,,,,0,0,6,20,Opportunity,,,,,,,131261.96597965,131261.96597965,,,,,,,131261.96597965,131261.96597965,+50.0%
Gorczany Inc,,Emily Brown,,True,False,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,07/01/2023,Historic,,Lost,False,,Gorczany Inc,,dummy,1892,Healthy,Gorczany Inc,New Business,License + hosting opp,License + LT Consulting opp,Opportunity 1892,1892,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,Consulting opp (Short term),False,False,True,False,True,●,Closed Won,,Closed Won,True,Upcoming Renewals,2023,2023,125390.829522021,True,1,125390.829522021,,,,,0,1,7,20,Opportunity,,,,,,125390.829522021,125390.829522021,125390.829522021,,,31347.707380505,,,,125390.829522021,125390.829522021,+50.0%
,Gottlieb LLC,Jane Smith,,False,False,Confident,The opportunity has a high chance of being successful,27/03/2025,Pending,Green,Conversion,False,Green,Gottlieb LLC,,dummy,1918,Healthy,,Sale of additional services on top of an existing contract,License + hosting opp,Consulting opp (Short term),Opportunity 1918,1918,Feedback,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Pending,False,License + LT Consulting opp,False,False,True,False,False,,5,Negotiation,5,True,Upcoming Renewals,2025,2025,,False,0,,,,,,0,0,10,20,Opportunity,,,,32174.645595293,,,32174.645595293,32174.645595293,,,,,,,32174.645595293,32174.645595293,-50.0%
Gleason Inc,,Kevin Martinez,Gleason Inc,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,11/07/2016,Historic,,Lost,False,,Gleason Inc,,dummy,1295,Healthy,Gleason Inc,New Business,License opp,Consulting opp (Long term),Opportunity 1295,1295,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,Consulting opp (Long term),False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2016,2016,123572.778260236,False,1,,,,,,0,0,3,20,Opportunity,,,,,,,123572.778260236,123572.778260236,,,,,,,123572.778260236,123572.778260236,+50.0%
Boehm Group,,Kevin Martinez,Boehm Group,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,30/12/2022,Historic,,Conversion,False,,Boehm Group,,dummy,1607,Healthy,Boehm Group,Sale of additional services on top of an existing contract,License + hosting opp,License + LT Consulting opp,Opportunity 1607,1607,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,True,Consulting opp (Long term),False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2022,2022,153160.814763093,False,1,,,,153160.814763093,,0,0,1,20,Opportunity,,,153160.814763093,,,,153160.814763093,153160.814763093,,,,,,153160.814763093,153160.814763093,153160.814763093,+50.0%
Barton LLC,,Daniel Martinez,Barton LLC,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,16/08/2021,Historic,,Conversion,False,,Barton LLC,,dummy,578,Healthy,Barton LLC,An existing contract is due to expire unless renewed,Consulting opp (Infrastructure),License + LT Consulting opp,Opportunity 578,578,,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,Consulting opp (Long term),False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2021,2021,106754.24211547,False,1,,,,,,0,0,2,20,Opportunity,,,,,,,106754.24211547,106754.24211547,,,,,,,106754.24211547,106754.24211547,+50.0%
,Raynor LLC,Amanda Anderson,,False,False,Confident,The opportunity has a high chance of being successful,02/04/2025,Pending,Green,Conversion,False,Green,Raynor LLC,,dummy,659,Healthy,,Sale of additional services on top of an existing contract,License opp,License + LT Consulting opp,Opportunity 659,659,Opportunity Qualified,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Pending,False,License + LT Consulting opp,False,False,True,False,False,,2,Qualification,2,True,Upcoming Renewals,2025,2025,,False,0,,,,,,0,0,10,20,Opportunity,,,,60868.314248712,,,60868.314248712,60868.314248712,,,,,,,60868.314248712,60868.314248712,-50.0%
,Schaden LLC,Jane Smith,,False,False,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,12/10/2026,Pending,,Conversion,True,Red,Schaden LLC,,dummy,1347,Expected Churn,,New Business,License + LT Consulting opp,License + LT Consulting opp,Opportunity 1347,1347,Prospecting,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Pending,False,License + ST Consulting opp,False,False,True,False,False,,1,Prospecting,1,True,Upcoming Renewals,2026,2026,,False,0,,,,,,0,0,10,20,Opportunity,,,,92537.339931013,,,92537.339931013,92537.339931013,,,,,,,92537.339931013,92537.339931013,-50.0%
,,Samantha Lee,,True,False,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,26/06/2023,Historic,,Conversion,False,,Koss-Cremin,,dummy,1028,Expected Churn,Koss-Cremin,Sale of additional services on top of an existing contract,License + LT Consulting opp,Consulting opp (Short term),Opportunity 1028,1028,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,License opp,False,False,True,False,True,●,Closed Lost,,Closed Lost,True,Upcoming Renewals,2023,2023,,True,0,52365.547673176,,,,,0,1,4,20,Opportunity,,,,,,,52365.547673176,52365.547673176,,True,13091.386918294,3,52365.547673176,,52365.547673176,52365.547673176,-50.0%
Kub Group,,Daniel Martinez,Kub Group,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,17/08/2018,Historic,,Conversion,False,,Kub Group,,dummy,289,Healthy,Kub Group,Sale of additional services on top of an existing contract,Consulting opp (Long term),License + ST Consulting opp,Opportunity 289,289,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,License + ST Consulting opp,False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2018,2018,129907.390482236,False,1,,,,,,0,0,7,20,Opportunity,,,,,,,129907.390482236,129907.390482236,,,,,,,129907.390482236,129907.390482236,+50.0%
,,Jane Smith,Boehm Group,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,06/08/2022,Historic,,Conversion,False,,Boehm Group,,dummy,1608,Expected Churn,Boehm Group,An existing contract is due to expire unless renewed,Consulting opp (Long term),Consulting opp (Long term),Opportunity 1608,1608,,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,True,Consulting opp (Long term),False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2022,2022,,False,0,,,,143116.111965644,,0,0,10,20,Opportunity,,,,,,,143116.111965644,143116.111965644,,,,,,,143116.111965644,143116.111965644,-50.0%
,,Michael Johnson,,True,False,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,30/05/2023,Historic,,Lost,False,,Prosacco Inc,,dummy,1848,Expected Churn,Prosacco Inc,New Business,Support plan + licenses,License + LT Consulting opp,Opportunity 1848,1848,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,Consulting opp (Infrastructure),False,False,True,False,True,●,Closed Lost,,Closed Lost,True,Upcoming Renewals,2023,2023,,True,0,78629.602570699,,,,,0,1,1,20,Opportunity,,,,,,,78629.602570699,78629.602570699,,,19657.400642675,,,,78629.602570699,78629.602570699,-50.0%
,,Ryan Thomas,Schuppe LLC,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,17/09/2019,Historic,,Conversion,False,,Schuppe LLC,,dummy,1306,Expected Churn,Schuppe LLC,An existing contract is due to expire unless renewed,Consulting opp (Infrastructure),License + hosting opp,Opportunity 1306,1306,,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,License opp,False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2019,2019,,False,0,,,,,,0,0,8,20,Opportunity,,,,,,,137261.083944994,137261.083944994,,,,,,,137261.083944994,137261.083944994,-50.0%
,,Amanda Anderson,,False,False,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,24/02/2024,Historic,,Conversion,False,,Borer-Metz,Hide,dummy,625,Expected Churn,,Sale of additional services on top of an existing contract,License + LT Consulting opp,License + LT Consulting opp,Opportunity 625,625,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,Consulting opp (Infrastructure),False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2024,2024,,False,0,,,,,,0,0,6,20,Opportunity,,,,,,,75945.974322023,75945.974322023,,,,,,,75945.974322023,75945.974322023,-50.0%
,Berge Inc,James Jackson,,False,False,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,13/06/2024,Pending,,Conversion,False,Red,Berge Inc,,dummy,298,Expected Churn,,An existing contract is due to expire unless renewed,License + ST Consulting opp,Consulting opp (Infrastructure),Opportunity 298,298,Feedback,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Pending,False,Consulting opp (Short term),False,False,True,False,False,,5,Negotiation,5,True,Upcoming Renewals,2024,2024,,False,0,,,,,,0,0,10,20,Opportunity,,,,21377.846978460,,,21377.846978460,21377.846978460,,,,,,,21377.846978460,21377.846978460,-50.0%
Tromp-Braun,,Ryan Thomas,Tromp-Braun,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,07/06/2020,Historic,,Conversion,False,,Tromp-Braun,,dummy,1281,Healthy,Tromp-Braun,Sale of additional services on top of an existing contract,Consulting opp (Infrastructure),License + hosting opp,Opportunity 1281,1281,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,Support plan + licenses,False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2020,2020,87326.052805252,False,1,,,,,,0,0,8,20,Opportunity,,,,,,,87326.052805252,87326.052805252,,,,,,,87326.052805252,87326.052805252,+50.0%
Nienow LLC,,Jessica White,Nienow LLC,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,02/05/2022,Historic,,Lost,False,,Nienow LLC,,dummy,692,Healthy,Nienow LLC,New Business,Consulting opp (Infrastructure),License + ST Consulting opp,Opportunity 692,692,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,True,Support plan + licenses,False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2022,2022,76136.228478545,False,1,,,,76136.228478545,,0,0,4,20,Opportunity,,,76136.228478545,,,,76136.228478545,76136.228478545,,,,,,,76136.228478545,76136.228478545,+50.0%
Rath LLC,,Kevin Martinez,Rath LLC,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,17/12/2017,Historic,,Conversion,False,,Rath LLC,,dummy,232,Healthy,Rath LLC,Sale of additional services on top of an existing contract,Consulting opp (Short term),License + ST Consulting opp,Opportunity 232,232,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,Support plan + licenses,False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2017,2017,128060.5600048,False,1,,,,,,0,0,2,20,Opportunity,,,,,,,128060.5600048,128060.5600048,,,,,,,128060.5600048,128060.5600048,+50.0%
,Toy-Kiehn,Sarah Taylor,,False,False,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,15/02/2026,Pending,,Conversion,True,Red,Toy-Kiehn,,dummy,479,Expected Churn,,An existing contract is due to expire unless renewed,Consulting opp (Short term),Support plan + licenses,Opportunity 479,479,Requirement Scoping,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Pending,False,Consulting opp (Long term),False,False,True,False,False,,3,Needs Analysis,3,True,Upcoming Renewals,2026,2026,,False,0,,,,,,0,0,10,20,Opportunity,,,,50957.597501333,,,50957.597501333,50957.597501333,,,,,,,50957.597501333,50957.597501333,-50.0%
,,Samantha Lee,Boehm Group,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,09/12/2020,Historic,,Conversion,False,,Boehm Group,,dummy,1609,Expected Churn,Boehm Group,An existing contract is due to expire unless renewed,License + LT Consulting opp,Consulting opp (Long term),Opportunity 1609,1609,,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,License opp,False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2020,2020,,False,0,,,,,,0,0,2,20,Opportunity,,,,,,,75846.806749666,75846.806749666,,,,,,,75846.806749666,75846.806749666,-50.0%
Moen LLC,,James Jackson,Moen LLC,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,22/03/2022,Historic,,Lost,False,,Moen LLC,,dummy,137,Healthy,Moen LLC,New Business,Consulting opp (Long term),License + hosting opp,Opportunity 137,137,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,True,License opp,False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2022,2022,138824.286604958,False,1,,,,138824.286604958,,0,0,3,20,Opportunity,,,138824.286604958,,,,138824.286604958,138824.286604958,,,,,,,138824.286604958,138824.286604958,+50.0%
